MAC,FABRICANTE
BC6778     ,"Apple, Inc."
68-96-7B   ,"Apple, Inc."
68967B     ,"Apple, Inc."
84-85-06   ,"Apple, Inc."
848506,"Apple, Inc."
B4-F0-AB   ,"Apple, Inc."
B4F0AB     ,"Apple, Inc."
10-DD-B1   ,"Apple, Inc."
10DDB1     ,"Apple, Inc."
04-F7-E4   ,"Apple, Inc."
04F7E4     ,"Apple, Inc."
34-C0-59   ,"Apple, Inc."
34C059     ,"Apple, Inc."
F0-D1-A9   ,"Apple, Inc."
F0D1A9     ,"Apple, Inc."
F8-27-93   ,"Apple, Inc."
F82793     ,"Apple, Inc."
AC-FD-EC   ,"Apple, Inc."
ACFDEC     ,"Apple, Inc."
D0-E1-40   ,"Apple, Inc."
D0E140     ,"Apple, Inc."
F8-32-E4   ,ASUSTek COMPUTER INC.
F832E4     ,ASUSTek COMPUTER INC.
8C-7C-92   ,"Apple, Inc."
8C7C92     ,"Apple, Inc."
78-31-C1   ,"Apple, Inc."
7831C1     ,"Apple, Inc."
F4-37-B7   ,"Apple, Inc."
F437B7     ,"Apple, Inc."
54-AE-27   ,"Apple, Inc."
54AE27     ,"Apple, Inc."
64-76-BA   ,"Apple, Inc."
6476BA     ,"Apple, Inc."
84-B1-53   ,"Apple, Inc."
84B153     ,"Apple, Inc."
78-3A-84   ,"Apple, Inc."
783A84     ,"Apple, Inc."
2C-BE-08   ,"Apple, Inc."
2CBE08     ,"Apple, Inc."
